"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry",
"DDD","3D Systems Corporation","11.51","1314218049.93","n/a","n/a","Technology","Computer Software: Prepackaged Software",
"MMM","3M Company","195.9","114070049746.5","n/a","n/a","Health Care","Medical/Dental Instruments",
"WBAI","500.com Limited","13.49","573129165.67","n/a","2013","Consumer Services","Services-Misc. Amusement & Recreation",
"WUBA","58.com Inc.","61.8","9154975738.8","n/a","2013","Technology","Computer Software: Programming, Data Processing",
"EGHT","8x8 Inc","20.08","1915053314.48","n/a","n/a","Technology","EDP Services",
"AHC","A.H. Belo Corporation","4.06","87869471.62","n/a","n/a","Consumer Services","Newspapers/Magazines",
"AOS","A.O Smith Corporation","47.6","8089665077.2","n/a","n/a","Consumer Durables","Consumer Electronics/Appliances",
"ATEN","A10 Networks, Inc.","6.61","487807536.37","n/a","2014","Technology","Computer Communications Equipment",
"AAC","AAC Holdings, Inc.","2.38","58553604.9","n/a","2014","Health Care","Medical Specialities",
"AIR","AAR Corp.","37.21","1306071000","n/a","n/a","Capital Goods","Aerospace",
"AAN","Aaron&#39;s,  Inc.","50","3628915050","n/a","n/a","Technology","Diversified Commercial Services",
"ABB","ABB Ltd","19.49","41548852280.94","n/a","n/a","Consumer Durables","Electrical Products",
"ABT","Abbott Laboratories","71.15","124963095226.8","n/a","n/a","Health Care","Major Pharmaceuticals",
"ABBV","AbbVie Inc.","80.54","121149582976.58","n/a","2012","Health Care","Major Pharmaceuticals",
"ANF","Abercrombie & Fitch Company","21.27","1400524702.71","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores",
"AGD","Aberdeen Global Dynamic Dividend Fund","9.46","118719045.72","n/a","2006","n/a","n/a",
"AWP","Aberdeen Global Premier Properties Fund","5.46","466327412.46","n/a","2007","n/a","n/a",
"ACP","Aberdeen Income Credit Strategies Fund","11.19","146298865.68","n/a","2011","n/a","n/a",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","6.7664","90595816.7808","n/a","1992","n/a","n/a",
"AOD","Aberdeen Total Dynamic Dividend Fund","8.01","861822645.39","n/a","2007","n/a","n/a",
"ABM","ABM Industries Incorporated","34.01","2245662580.79","n/a","n/a","Finance","Diversified Commercial Services",
"AKR","Acadia Realty Trust","27.18","2216618014.5","n/a","n/a","Consumer Services","Real Estate Investment Trusts",
"ACN","Accenture plc","151.85","96995585582.95","n/a","2001","Miscellaneous","Business Services",
"ACCO","Acco Brands Corporation","8.83","907191065.35","n/a","n/a","Consumer Durables","Publishing",
"ATV","Acorn International, Inc.","24.4826","65616795.564","n/a","2007","Consumer Services","Other Specialty Stores",
"ATU","Actuant Corporation","22.28","1361861301.52","n/a","n/a","Technology","Industrial Machinery/Components",
"AYI","Acuity Brands, Inc. ","118.79","4738816651.73","n/a","n/a","Consumer Durables","Building Products",
"GOLF","Acushnet Holdings Corp.","23.27","1739666642.74","n/a","2016","Consumer Non-Durables","Recreational Products/Toys",
"ADX","Adams Diversified Equity Fund, Inc.","13.58","1369793523.84","n/a","n/a","n/a","n/a",
"PEO","Adams Natural Resources Fund, Inc.","15.98","463350439.06","n/a","n/a","n/a","n/a",
"AGRO","Adecoagro S.A.","7.17","835701013.44","n/a","2011","Consumer Non-Durables","Farming/Seeds/Milling",
"ADNT","Adient plc","19.6","1830554975.2","n/a","2016","Capital Goods","Auto Parts:O.E.M.",
"ADT","ADT Inc.","7.19","5513860448.59","n/a","2018","Consumer Services","Diversified Commercial Services",
"ATGE","Adtalem Global Education Inc.","49.66","2917276700","n/a","n/a","Consumer Services","Other Consumer Services",
"AAP","Advance Auto Parts Inc","153.22","11168775625.18","n/a","n/a","Consumer Services","Other Specialty Stores",
"ADSW","Advanced Disposal Services, Inc.","24.88","2205894761.2","n/a","2016","Public Utilities","Environmental Services",
"WMS","Advanced Drainage Systems, Inc.","24.56","1403291523.12","n/a","2014","Capital Goods","Containers/Packaging",
"ASIX","AdvanSix Inc.","29.93","891999839.24","n/a","2016","Basic Industries","Major Chemicals",
"AVK","Advent Claymore Convertible Securities and Income Fund","13.7","472995541.4","n/a","2003","n/a","n/a",
